,Channel,B,T,Isotope,G,sigma
252,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01467799267622070,0.001,H,3.15527083706304E-16,0.0173782713615546
253,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01467799267622070,0.001,T,1.028359181135E-14,0.566388935523034
254,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.021544346900318800,0.001,H,3.04775117454244E-16,0.0167860857874867
255,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.021544346900318800,0.001,T,1.05815887415576E-14,0.582801699388589
256,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.03162277660168380,0.001,H,2.76832674733982E-16,0.0152471010943395
257,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.03162277660168380,0.001,T,1.05046869322228E-14,0.578566181806018
258,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.046415888336127800,0.001,H,2.27280441080688E-16,0.0125179148930064
259,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.046415888336127800,0.001,T,9.69744128134712E-15,0.534105548469674
260,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.06812920690579610,0.001,H,1.6464096310618E-16,0.00906792310973252
261,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.06812920690579610,0.001,T,8.11832268128908E-15,0.447132502537964
262,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1,0.001,H,1.06075408464924E-16,0.00584231062334750
263,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1,0.001,T,6.18476120127784E-15,0.340637821640265
264,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1467799267622070,0.001,H,6.29987110250086E-17,0.00346977724625320
265,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1467799267622070,0.001,T,4.42612990442552E-15,0.243777762774225
266,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.21544346900318800,0.001,H,3.56850484235746E-17,0.00196542384815477
267,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.21544346900318800,0.001,T,3.08140155186526E-15,0.169714218231974
268,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.31622776601683800,0.001,H,1.97652264015584E-17,0.00108860850832243
269,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.31622776601683800,0.001,T,2.13437188803659E-15,0.117554706940146
270,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.46415888336127800,0.001,H,1.08228749249828E-17,0.000596091007938914
271,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.46415888336127800,0.001,T,1.48254178247396E-15,0.0816538887820382
272,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.6812920690579610,0.001,H,5.8864666352919E-18,0.000324208664901993
273,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.6812920690579610,0.001,T,1.02668290386879E-15,0.0565465693027742
274,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.0,0.001,H,3.17932496007233E-18,0.000175107541494375
275,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.0,0.001,T,6.89557089654642E-16,0.0379787056075871
276,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.467799267622070,0.001,H,1.70034832224186E-18,9.36500100276265E-05
277,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.467799267622070,0.001,T,4.2149381560079E-16,0.0232145964101948
278,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",2.154434690031880,0.001,H,8.94727527350123E-19,4.92788688131008E-05
