,Channel,B,T,Isotope,G,sigma
61,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.006812920690579608,0.001,T,8.83595549548551e-15,0.842915574073982
62,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01,0.001,H,2.63537779228087e-16,0.0145148587172001
63,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01,0.001,T,9.17780188652911e-15,0.875526381937247
64,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01467799267622069,0.001,H,2.62361085867137e-16,0.0144500500285268
65,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01467799267622069,0.001,T,9.55801779289413e-15,0.911797491400109
66,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.021544346900318832,0.001,H,2.53085601631744e-16,0.0139391845897851
67,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.021544346900318832,0.001,T,9.83995430764475e-15,0.938693131526959
68,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.03162277660168379,0.001,H,2.29432440896358e-16,0.0126364404925443
69,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.03162277660168379,0.001,T,9.77434910670585e-15,0.932434652108416
70,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.046415888336127774,0.001,H,1.88028648149729e-16,0.0103560456139283
71,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.046415888336127774,0.001,T,9.03066474828900e-15,0.861490074781713
72,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.06812920690579612,0.001,H,1.35912716005662e-16,0.00748565870317114
73,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.06812920690579612,0.001,T,7.56706043749128e-15,0.721867951460297
74,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1,0.001,H,8.73585087637990e-17,0.00481144075876272
75,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1,0.001,T,5.77153591592083e-15,0.550581939026584
76,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1467799267622069,0.001,H,5.17446264878003e-17,0.00284993652539918
77,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1467799267622069,0.001,T,4.13480941158814e-15,0.394444635969029
78,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.21544346900318823,0.001,H,2.92306573501308e-17,0.00160993563386155
79,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.21544346900318823,0.001,T,2.88106351608657e-15,0.274842184169724
80,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.31622776601683794,0.001,H,1.61404827702472e-17,0.000888968662192372
81,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.31622776601683794,0.001,T,1.99673350478098e-15,0.190480561985078
82,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.46415888336127775,0.001,H,8.80521178360110e-18,0.000484964263523604
