,Channel,B,T,Isotope,G,sigma
90,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",2.154434690031882,0.001,H,8.94727527350123e-19,4.92788688131008e-5
91,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",2.154434690031882,0.001,T,2.12331668235914e-16,0.0202556101732977
92,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",3.1622776601683795,0.001,H,4.58080251811559e-19,2.52296659540022e-5
93,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",3.1622776601683795,0.001,T,8.63072120961825e-17,0.00823337026402499
94,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",4.6415888336127775,0.001,H,2.24132348441184e-19,1.23445275326632e-5
95,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",4.6415888336127775,0.001,T,3.28841935764997e-17,0.00313702337236276
96,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",6.812920690579608,0.001,H,1.02218411059101e-19,5.62987894625699e-6
97,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",6.812920690579608,0.001,T,1.34299984012845e-17,0.00128116928814492
98,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",10.0,0.001,H,4.27269105164376e-20,2.35326817803907e-6
99,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",10.0,0.001,T,5.30905428018257e-18,0.000506463000934811
100,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.001,0.001,H,1.53951874912030e-16,0.00847920066770456
101,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.001,0.001,T,4.36880049475636e-15,0.416766469561073
